菜名,口味
辣子鸡,香辣
家常味盐煎肉,咸鲜
蚂蚁上树,咸鲜
家常酸辣粉,酸辣
双椒回锅肉,微辣
经典川味担担面，吃一次就念念不忘的味道,香辣
川菜版宫保鸡丁,微辣
口水鸡,中辣
麻辣血旺,中辣
鱼香肉丝,鱼香
四川哨子面,清淡
四川腊肉,咸鲜
宫保鸡丁,酸甜
自制串串香,原味
麻辣香锅,麻辣
口水鸡,微辣
水煮豆皮肉片,香辣
水煮鱼片,麻辣
宫保鸡丁,酸甜
水煮牛肉,麻辣
宫保鸡丁,咸甜
家常钵钵鸡，简单方便，随便煮点什么都好吃，自己做吃到撑。,麻辣
超easy麻婆豆腐,微辣
麻辣豆腐,原味
酸汤肥牛的做法，酸汤肥牛最简单的家常做法，肥牛怎么做好吃,微辣
鱼香肉丝,鱼香
暖身暖心子姜鸭,中辣
蚂蚁上树,咸鲜
囗水鸡,麻辣
干煸四季豆,蒜香
宫保鸡丁,微辣
麻婆豆腐,麻辣
酸菜芋儿鸡,微辣
泡椒凤爪,酸辣
蒜苗五花肉,咸鲜
蚂蚁上树,微辣
香辣五花肉,咸鲜
泡椒兔肉,酸辣
真滋味方便菜来教你做鱼香肉丝！【H】,鱼香
鱼香肉末茄子煲,酸辣
水煮肉片,麻辣
鱼香肉丝,咸鲜
四川辣椒油,香辣
金汤肥牛,中辣
宫保鸡丁,咸鲜
麻辣小火锅,麻辣
蒜香血粑,原味
钵钵鸡,麻辣
蚂蚁上树,咸鲜
钵钵鸡,中辣
麻辣香锅,麻辣
酸菜桂花鱼,咸鲜
家常酸汤肥牛，酸辣爽口又开胃，吃一次绝对还想下一次。,酸辣
宫保虾球,咸香
元宝家的藤椒鸡🐔,麻辣
麻辣香锅,麻辣
来，整块烧白,其他
钵钵鸡----附详细料汁儿做法,麻辣
麻婆豆腐,麻辣
椒麻鸡,麻辣
鱼香肉丝,鱼香
狼牙土豆,中辣
5分钟开胃下饭的香辣豆腐,微辣
水煮鱼,麻辣
虎皮辣椒,微辣
川味凉拌猪腱子,中辣
宫保鱼丁,咸鲜
四合院家香之麻婆豆腐,麻辣
酸菜鱼,酸辣
下饭回锅肉,中辣
辣子鸡丁,香辣
虎皮尖椒,咸鲜
挂面怎么做凉面,麻辣
真滋味-酸菜鱼,酸辣
懒人版鱼香肉丝，厨艺有限，依靠调料包，比自己调味靠谱多了。,酸辣
麻婆豆腐,麻辣
东坡肘子的家常做法，香浓软糯巨好吃！,酱香
水煮黑鱼片,蒜香
快手麻辣香锅,原味
四川凉面,中辣
水煮胖头鱼,咸鲜
懒人版麻婆豆腐、又香又麻又辣，就着汤汁能吃两碗米饭。,微辣
家常水煮牛肉,香辣
四川尖椒火锅肉,微辣
泡椒猪脑,酸辣
麻辣兔头的详细制作，麻辣鲜香，色泽红润，回味悠长,麻辣
成都外围有名的小吃麻辣串串香【麻辣烫】,麻辣
蒜泥白肉,香辣
鱼香肉丝,咸鲜
正宗四川凉糕大米凉糕,甜味
小涮锅麻婆豆腐,麻辣
麻辣水煮鱼,麻辣
鱼香炒鸡蛋,咸鲜
比肉还好吃的滋味家常菜——麻婆豆腐😉,麻辣
水煮麻辣鲤鱼鱼籽,麻辣
口水鸡,香辣
家常水煮鱼,微辣
真滋味鱼香肉丝,酸甜
电饭煲自制串串香,香辣
麻辣鸡丝,麻辣
